target_date,pitcher,book,opp,line,side,price,mu,model_p,market_p,edge,opp_krate,cur_n,graded,actual_k,result
2026-06-29,George Kirby,draftkings,Los Angeles Angels,4.5,Over,1.67,5.28,0.607,0.563,0.044,0.241,16,Y,7,win
2026-06-29,George Kirby,betmgm,Los Angeles Angels,5.5,Under,1.91,5.28,0.568,0.489,0.078,0.241,16,Y,7,loss
