date,stat,pitcher,name,book_line,book_p_over,n_books
2026-07-04,hits,Logan Gilbert,logan gilbert,3.5,0.5749,2
2026-07-04,hits,Shane Bieber,shane bieber,4.5,0.565,2
2026-07-04,hits,Hunter Brown,hunter brown,4.5,0.5562,3
2026-07-04,hits,Drew Rasmussen,drew rasmussen,4.5,0.5258,3
2026-07-04,hits,Kumar Rocker,kumar rocker,4.5,0.498,3
2026-07-04,hits,Braxton Ashcraft,braxton ashcraft,5.5,0.4971,3
2026-07-04,hits,Jack Flaherty,jack flaherty,4.5,0.4942,3
2026-07-04,ks,Kumar Rocker,kumar rocker,4.5,0.5782,4
2026-07-04,ks,Shane Bieber,shane bieber,4.5,0.5664,4
2026-07-04,ks,Braxton Ashcraft,braxton ashcraft,5.5,0.5599,5
2026-07-04,ks,Drew Rasmussen,drew rasmussen,5.5,0.5483,6
2026-07-04,ks,Brandon Young,brandon young,4.5,0.5408,5
2026-07-04,ks,Zebby Matthews,zebby matthews,4.5,0.54,5
2026-07-04,ks,Hunter Greene,hunter greene,6.5,0.5306,6
2026-07-04,ks,Jack Flaherty,jack flaherty,5.5,0.5113,6
2026-07-04,ks,Sean Burke,sean burke,5.5,0.5026,6
2026-07-04,ks,Parker Messick,parker messick,6.5,0.4628,5
2026-07-04,ks,Logan Gilbert,logan gilbert,5.5,0.4515,6
2026-07-04,ks,Hunter Brown,hunter brown,6.5,0.429,6
2026-07-04,outs,Drew Rasmussen,drew rasmussen,17.5,0.5749,4
2026-07-04,outs,Hunter Brown,hunter brown,17.5,0.5688,4
2026-07-04,outs,Braxton Ashcraft,braxton ashcraft,17.5,0.5635,5
2026-07-04,outs,Kumar Rocker,kumar rocker,15.5,0.512,4
2026-07-04,outs,Jack Flaherty,jack flaherty,15.5,0.503,4
2026-07-04,outs,Brandon Young,brandon young,16.5,0.4941,3
2026-07-04,outs,Shane Bieber,shane bieber,16.5,0.4874,3
2026-07-04,outs,Zebby Matthews,zebby matthews,16.5,0.4835,3
