date,stat,pitcher,name,book,line,over_dec,under_dec
2026-08-01,hits,Connor Prielipp,connor prielipp,betmgm,4.5,1.7407,2.0
2026-08-01,hits,Connor Prielipp,connor prielipp,bovada,4.5,1.8696,1.8
2026-08-01,hits,Connor Prielipp,connor prielipp,draftkings,4.5,1.9009,1.8403
2026-08-01,hits,Cristopher Sanchez,cristopher sanchez,betmgm,5.5,1.9524,1.8
2026-08-01,hits,Cristopher Sanchez,cristopher sanchez,bovada,5.5,1.7143,2.0
2026-08-01,hits,Cristopher Sanchez,cristopher sanchez,draftkings,5.5,1.7407,2.02
2026-08-01,hits,Drew Rasmussen,drew rasmussen,betmgm,4.5,2.0,1.7407
2026-08-01,hits,Drew Rasmussen,drew rasmussen,bovada,4.5,2.05,1.6897
2026-08-01,hits,Drew Rasmussen,drew rasmussen,draftkings,4.5,2.07,1.7042
2026-08-01,hits,Framber Valdez,framber valdez,betmgm,5.5,1.8333,1.9091
2026-08-01,hits,Framber Valdez,framber valdez,bovada,5.5,1.8,1.8696
2026-08-01,hits,Framber Valdez,framber valdez,draftkings,5.5,1.8333,1.9091
2026-08-01,hits,Jack Perkins,jack perkins,betmgm,4.5,1.6452,2.15
2026-08-01,hits,Jack Perkins,jack perkins,bovada,5.5,2.2,1.625
2026-08-01,hits,Jack Perkins,jack perkins,draftkings,5.5,2.2,1.6289
2026-08-01,hits,Jacob deGrom,jacob degrom,betmgm,4.5,1.7407,2.0
2026-08-01,hits,Jacob deGrom,jacob degrom,bovada,4.5,1.7692,1.9091
2026-08-01,hits,Jacob deGrom,jacob degrom,draftkings,4.5,1.8197,1.9259
2026-08-01,hits,Jose Soriano,jose soriano,betmgm,4.5,1.8333,1.9091
2026-08-01,hits,Jose Soriano,jose soriano,bovada,4.5,1.8696,1.8
2026-08-01,hits,Jose Soriano,jose soriano,draftkings,4.5,1.9346,1.8065
2026-08-01,hits,Kevin Gausman,kevin gausman,betmgm,5.5,2.05,1.7143
2026-08-01,hits,Kevin Gausman,kevin gausman,bovada,5.5,2.2,1.625
2026-08-01,hits,Kevin Gausman,kevin gausman,draftkings,5.5,2.2,1.625
2026-08-01,hits,Logan Gilbert,logan gilbert,betmgm,4.5,1.8333,1.9091
2026-08-01,hits,Logan Gilbert,logan gilbert,bovada,4.5,1.9524,1.7407
2026-08-01,hits,Logan Gilbert,logan gilbert,draftkings,4.5,1.9901,1.7576
2026-08-01,hits,Luinder Avila,luinder avila,betmgm,5.5,1.8333,1.9091
2026-08-01,hits,Luinder Avila,luinder avila,bovada,5.5,1.7143,2.0
2026-08-01,hits,Luinder Avila,luinder avila,draftkings,5.5,1.7463,2.01
2026-08-01,hits,Payton Tolle,payton tolle,betmgm,5.5,2.15,1.6452
2026-08-01,hits,Payton Tolle,payton tolle,bovada,5.5,2.15,1.6452
2026-08-01,hits,Payton Tolle,payton tolle,draftkings,5.5,2.14,1.6579
2026-08-01,hits,Robert Gasser,robert gasser,betmgm,5.5,2.1,1.6667
2026-08-01,hits,Robert Gasser,robert gasser,bovada,4.5,1.625,2.2
2026-08-01,hits,Robert Gasser,robert gasser,draftkings,4.5,1.6329,2.19
2026-08-01,hits,Ronel Blanco,ronel blanco,betmgm,4.5,1.9524,1.8
2026-08-01,hits,Ronel Blanco,ronel blanco,bovada,4.5,1.8,1.8696
2026-08-01,hits,Ronel Blanco,ronel blanco,draftkings,4.5,1.8264,1.9174
2026-08-01,hits,Ryan Feltner,ryan feltner,betmgm,5.5,1.7407,2.0
2026-08-01,hits,Ryan Feltner,ryan feltner,bovada,5.5,1.7143,2.0
2026-08-01,hits,Ryan Feltner,ryan feltner,draftkings,5.5,1.7299,2.03
2026-08-01,hits,Shane Baz,shane baz,betmgm,5.5,1.8696,1.8696
2026-08-01,hits,Shane Baz,shane baz,bovada,5.5,1.7692,1.9091
2026-08-01,hits,Shane Baz,shane baz,draftkings,5.5,1.7937,1.9524
2026-08-01,hits,Tyler Mahle,tyler mahle,betmgm,5.5,2.2,1.625
2026-08-01,hits,Tyler Mahle,tyler mahle,bovada,5.5,2.05,1.6897
2026-08-01,hits,Tyler Mahle,tyler mahle,draftkings,5.5,2.05,1.7194
2026-08-01,hits,Tyler Phillips,tyler phillips,betmgm,4.5,1.6452,2.15
2026-08-01,hits,Tyler Phillips,tyler phillips,bovada,4.5,1.6897,2.05
2026-08-01,hits,Tyler Phillips,tyler phillips,draftkings,4.5,1.7092,2.06
2026-08-01,hits,Walker Buehler,walker buehler,betmgm,4.5,1.6667,2.1
2026-08-01,hits,Walker Buehler,walker buehler,bovada,4.5,1.6452,2.15
2026-08-01,hits,Walker Buehler,walker buehler,draftkings,4.5,1.6452,2.17
2026-08-01,hits,Yoshinobu Yamamoto,yoshinobu yamamoto,betmgm,5.5,2.15,1.6452
2026-08-01,hits,Yoshinobu Yamamoto,yoshinobu yamamoto,bovada,5.5,2.25,1.6061
2026-08-01,hits,Yoshinobu Yamamoto,yoshinobu yamamoto,draftkings,5.5,2.24,1.6061
2026-08-01,hits,Zach Thornton,zach thornton,betmgm,5.5,1.9524,1.7692
2026-08-01,hits,Zach Thornton,zach thornton,bovada,5.5,1.8696,1.8
2026-08-01,hits,Zach Thornton,zach thornton,draftkings,5.5,1.9174,1.8264
2026-08-01,ks,Andrew Abbott,andrew abbott,betmgm,5.5,2.05,1.7143
2026-08-01,ks,Andrew Abbott,andrew abbott,betonlineag,5.5,2.13,1.6803
2026-08-01,ks,Andrew Abbott,andrew abbott,betrivers,5.5,2.16,1.6452
2026-08-01,ks,Andrew Abbott,andrew abbott,bovada,5.5,2.15,1.6667
2026-08-01,ks,Andrew Abbott,andrew abbott,draftkings,5.5,2.24,1.6329
2026-08-01,ks,Andrew Abbott,andrew abbott,fanduel,5.5,2.18,1.6667
2026-08-01,ks,Braxton Ashcraft,braxton ashcraft,betmgm,6.5,2.05,1.7143
2026-08-01,ks,Braxton Ashcraft,braxton ashcraft,betonlineag,6.5,1.9434,1.8197
2026-08-01,ks,Braxton Ashcraft,braxton ashcraft,betrivers,6.5,1.9174,1.8197
2026-08-01,ks,Braxton Ashcraft,braxton ashcraft,bovada,6.5,1.8696,1.8696
2026-08-01,ks,Braxton Ashcraft,braxton ashcraft,draftkings,6.5,1.8772,1.9009
2026-08-01,ks,Braxton Ashcraft,braxton ashcraft,fanduel,6.5,1.8696,1.9009
2026-08-01,ks,Connor Prielipp,connor prielipp,betmgm,5.5,1.8,1.9524
2026-08-01,ks,Connor Prielipp,connor prielipp,betonlineag,5.5,1.7519,2.03
2026-08-01,ks,Connor Prielipp,connor prielipp,betrivers,5.5,1.8264,1.9174
2026-08-01,ks,Connor Prielipp,connor prielipp,bovada,5.5,1.7407,2.05
2026-08-01,ks,Connor Prielipp,connor prielipp,draftkings,5.5,1.7246,2.08
2026-08-01,ks,Connor Prielipp,connor prielipp,fanduel,5.5,1.7353,2.06
2026-08-01,ks,Cristopher Sanchez,cristopher sanchez,betmgm,6.5,1.7143,2.05
2026-08-01,ks,Cristopher Sanchez,cristopher sanchez,betonlineag,6.5,1.6579,2.16
2026-08-01,ks,Cristopher Sanchez,cristopher sanchez,betrivers,7.5,2.07,1.6993
2026-08-01,ks,Cristopher Sanchez,cristopher sanchez,bovada,7.5,2.2,1.625
2026-08-01,ks,Cristopher Sanchez,cristopher sanchez,draftkings,6.5,1.6369,2.23
2026-08-01,ks,Cristopher Sanchez,cristopher sanchez,fanduel,7.5,2.22,1.641
2026-08-01,ks,David Peterson,david peterson,betmgm,4.5,1.7143,2.05
2026-08-01,ks,David Peterson,david peterson,betonlineag,4.5,1.6579,2.17
2026-08-01,ks,David Peterson,david peterson,betrivers,4.5,1.6369,2.18
2026-08-01,ks,David Peterson,david peterson,bovada,4.5,1.6667,2.15
2026-08-01,ks,David Peterson,david peterson,draftkings,4.5,1.6061,2.29
2026-08-01,ks,David Peterson,david peterson,fanduel,4.5,1.6757,2.16
2026-08-01,ks,Drew Rasmussen,drew rasmussen,betmgm,5.5,1.8,1.9524
2026-08-01,ks,Drew Rasmussen,drew rasmussen,betonlineag,5.5,1.7519,2.03
2026-08-01,ks,Drew Rasmussen,drew rasmussen,betrivers,5.5,1.7692,1.9709
2026-08-01,ks,Drew Rasmussen,drew rasmussen,draftkings,5.5,1.7246,2.08
2026-08-01,ks,Framber Valdez,framber valdez,betmgm,4.5,1.7692,1.9524
2026-08-01,ks,Framber Valdez,framber valdez,betonlineag,4.5,1.7576,2.02
2026-08-01,ks,Framber Valdez,framber valdez,bovada,4.5,1.8,1.9524
2026-08-01,ks,Framber Valdez,framber valdez,draftkings,4.5,1.6803,2.15
2026-08-01,ks,Framber Valdez,framber valdez,fanduel,4.5,1.8197,1.9615
2026-08-01,ks,Jack Perkins,jack perkins,betmgm,4.5,1.6667,2.1
2026-08-01,ks,Jack Perkins,jack perkins,betonlineag,4.5,1.7407,2.04
2026-08-01,ks,Jack Perkins,jack perkins,bovada,4.5,1.8,1.9524
2026-08-01,ks,Jack Perkins,jack perkins,draftkings,4.5,1.8065,1.9709
2026-08-01,ks,Jack Perkins,jack perkins,fanduel,4.5,1.8,1.9804
2026-08-01,ks,Jacob deGrom,jacob degrom,betmgm,6.5,1.8,1.9524
2026-08-01,ks,Jacob deGrom,jacob degrom,betonlineag,6.5,1.9009,1.8621
2026-08-01,ks,Jacob deGrom,jacob degrom,betrivers,6.5,1.8929,1.8333
2026-08-01,ks,Jacob deGrom,jacob degrom,bovada,6.5,1.9524,1.8
2026-08-01,ks,Jacob deGrom,jacob degrom,draftkings,6.5,1.9434,1.8333
2026-08-01,ks,Jacob deGrom,jacob degrom,fanduel,6.5,1.9804,1.8
2026-08-01,ks,Jose Soriano,jose soriano,betmgm,5.5,1.7407,2.0
2026-08-01,ks,Jose Soriano,jose soriano,betonlineag,5.5,1.7092,2.08
2026-08-01,ks,Jose Soriano,jose soriano,betrivers,5.5,1.8333,1.8929
2026-08-01,ks,Jose Soriano,jose soriano,bovada,5.5,1.7407,2.05
2026-08-01,ks,Jose Soriano,jose soriano,draftkings,5.5,1.6369,2.23
2026-08-01,ks,Jose Soriano,jose soriano,fanduel,5.5,1.7353,2.06
2026-08-01,ks,Kevin Gausman,kevin gausman,betmgm,5.5,2.05,1.7143
2026-08-01,ks,Kevin Gausman,kevin gausman,betonlineag,5.5,2.25,1.6098
2026-08-01,ks,Kevin Gausman,kevin gausman,betrivers,5.5,2.06,1.7092
2026-08-01,ks,Kevin Gausman,kevin gausman,bovada,5.5,2.1,1.6897
2026-08-01,ks,Kevin Gausman,kevin gausman,draftkings,5.5,2.07,1.7353
2026-08-01,ks,Kevin Gausman,kevin gausman,fanduel,5.5,2.08,1.7246
2026-08-01,ks,Kohl Drake,kohl drake,betmgm,3.5,1.8,1.9524
2026-08-01,ks,Kohl Drake,kohl drake,betonlineag,3.5,1.7407,2.05
2026-08-01,ks,Kohl Drake,kohl drake,betrivers,3.5,1.7463,2.02
2026-08-01,ks,Kohl Drake,kohl drake,bovada,3.5,1.6897,2.1
2026-08-01,ks,Kohl Drake,kohl drake,draftkings,3.5,1.7246,2.08
2026-08-01,ks,Kohl Drake,kohl drake,fanduel,3.5,1.7143,2.1
2026-08-01,ks,Logan Gilbert,logan gilbert,betmgm,6.5,1.8696,1.8696
2026-08-01,ks,Logan Gilbert,logan gilbert,betonlineag,6.5,1.8403,1.9174
2026-08-01,ks,Logan Gilbert,logan gilbert,betrivers,6.5,1.8333,1.8929
2026-08-01,ks,Logan Gilbert,logan gilbert,bovada,6.5,1.8696,1.8696
2026-08-01,ks,Logan Gilbert,logan gilbert,draftkings,6.5,1.813,1.9615
2026-08-01,ks,Logan Gilbert,logan gilbert,fanduel,6.5,1.8696,1.9009
2026-08-01,ks,Luinder Avila,luinder avila,betmgm,4.5,2.3,1.5714
2026-08-01,ks,Luinder Avila,luinder avila,betonlineag,3.5,1.6803,2.14
2026-08-01,ks,Luinder Avila,luinder avila,betrivers,3.5,1.7353,2.02
2026-08-01,ks,Luinder Avila,luinder avila,bovada,3.5,1.6897,2.1
2026-08-01,ks,Luinder Avila,luinder avila,draftkings,3.5,1.7092,2.11
2026-08-01,ks,Luinder Avila,luinder avila,fanduel,3.5,1.7042,2.12
2026-08-01,ks,Max Fried,max fried,betmgm,5.5,2.2,1.625
2026-08-01,ks,Max Fried,max fried,betonlineag,5.5,2.26,1.6098
2026-08-01,ks,Max Fried,max fried,betrivers,5.5,2.2,1.6289
2026-08-01,ks,Max Fried,max fried,bovada,5.5,2.3,1.5882
2026-08-01,ks,Max Fried,max fried,draftkings,5.5,2.23,1.6369
2026-08-01,ks,Max Fried,max fried,fanduel,5.5,2.34,1.5814
2026-08-01,ks,Miles Mikolas,miles mikolas,betmgm,2.5,1.9524,1.8
2026-08-01,ks,Miles Mikolas,miles mikolas,betonlineag,2.5,2.04,1.7407
2026-08-01,ks,Miles Mikolas,miles mikolas,betrivers,2.5,1.9091,1.8264
2026-08-01,ks,Miles Mikolas,miles mikolas,bovada,2.5,1.9524,1.8
