date,stat,pitcher,name,book_line,book_p_over,n_books
2026-08-04,hits,Randy Dobnak,randy dobnak,5.5,0.5752,3
2026-08-04,hits,Patrick Sandoval,patrick sandoval,4.5,0.5665,3
2026-08-04,hits,Logan Henderson,logan henderson,3.5,0.5575,3
2026-08-04,hits,Hayden Wesneski,hayden wesneski,4.5,0.5575,3
2026-08-04,hits,Brady Singer,brady singer,5.5,0.5555,3
2026-08-04,hits,Tarik Skubal,tarik skubal,4.5,0.552,2
2026-08-04,hits,Davis Martin,davis martin,5.5,0.5461,3
2026-08-04,hits,Jesus Luzardo,jesus luzardo,4.5,0.5453,3
2026-08-04,hits,Hunter Dobbins,hunter dobbins,4.5,0.5446,3
2026-08-04,hits,Emerson Hancock,emerson hancock,4.5,0.5271,3
2026-08-04,hits,Zack Littell,zack littell,5.5,0.5173,3
2026-08-04,hits,Trey Yesavage,trey yesavage,4.5,0.5136,3
2026-08-04,hits,Freddy Peralta,freddy peralta,5.5,0.5096,2
2026-08-04,hits,Blade Tidwell,blade tidwell,4.5,0.5,1
2026-08-04,hits,MacKenzie Gore,mackenzie gore,4.5,0.4961,3
2026-08-04,hits,Joe Ryan,joe ryan,5.5,0.492,3
2026-08-04,hits,Eduardo Rodriguez,eduardo rodriguez,5.5,0.4853,3
2026-08-04,hits,Sean Manaea,sean manaea,5.5,0.4809,2
2026-08-04,hits,JT Ginn,jt ginn,4.5,0.4762,3
2026-08-04,hits,Javier Assad,javier assad,5.5,0.4426,2
2026-08-04,hits,Gabriel Hughes,gabriel hughes,6.5,0.4425,3
2026-08-04,hits,Grayson Rodriguez,grayson rodriguez,5.5,0.4344,2
2026-08-04,hits,Ryan Weathers,ryan weathers,5.5,0.4271,3
2026-08-04,hits,Joey Cantillo,joey cantillo,4.5,0.4248,3
2026-08-04,hits,Jared Jones,jared jones,4.5,0.4181,2
2026-08-04,hits,Randy Vasquez,randy vasquez,4.5,0.4176,3
2026-08-04,ks,Eduardo Rodriguez,eduardo rodriguez,3.5,0.5917,4
2026-08-04,ks,Hayden Wesneski,hayden wesneski,3.5,0.5846,5
2026-08-04,ks,Blade Tidwell,blade tidwell,3.5,0.5835,3
2026-08-04,ks,Hunter Dobbins,hunter dobbins,3.5,0.5813,6
2026-08-04,ks,JT Ginn,jt ginn,4.5,0.5675,4
