date,stat,pitcher,name,book_line,book_p_over,n_books
2026-08-01,hits,Robert Gasser,robert gasser,4.5,0.574,2
2026-08-01,hits,Yoshinobu Yamamoto,yoshinobu yamamoto,4.5,0.568,2
2026-08-01,hits,Walker Buehler,walker buehler,4.5,0.5575,3
2026-08-01,hits,Tyler Phillips,tyler phillips,4.5,0.5494,3
2026-08-01,hits,Ryan Feltner,ryan feltner,5.5,0.5362,3
2026-08-01,hits,Andrew Abbott,andrew abbott,4.5,0.5347,1
2026-08-01,hits,Cristopher Sanchez,cristopher sanchez,5.5,0.5347,3
2026-08-01,hits,Luinder Avila,luinder avila,5.5,0.5339,3
2026-08-01,hits,Framber Valdez,framber valdez,5.5,0.5339,3
2026-08-01,hits,Jacob deGrom,jacob degrom,4.5,0.5322,3
2026-08-01,hits,Shane Baz,shane baz,5.5,0.5156,3
2026-08-01,hits,Jose Soriano,jose soriano,4.5,0.4961,3
2026-08-01,hits,Logan Gilbert,logan gilbert,4.5,0.4932,3
2026-08-01,hits,Connor Prielipp,connor prielipp,4.5,0.4871,3
2026-08-01,hits,Zach Thornton,zach thornton,5.5,0.4842,3
2026-08-01,hits,Ronel Blanco,ronel blanco,4.5,0.4842,3
2026-08-01,hits,Tyler Mahle,tyler mahle,5.5,0.4603,3
2026-08-01,hits,Drew Rasmussen,drew rasmussen,4.5,0.4539,3
2026-08-01,hits,Braxton Ashcraft,braxton ashcraft,5.5,0.4425,1
2026-08-01,hits,Kevin Gausman,kevin gausman,5.5,0.4248,3
2026-08-01,hits,Payton Tolle,payton tolle,5.5,0.4248,3
2026-08-01,hits,Jack Perkins,jack perkins,5.5,0.4248,2
2026-08-01,ks,Parker Messick,parker messick,4.5,0.5867,5
2026-08-01,ks,Tyler Mahle,tyler mahle,3.5,0.5752,5
2026-08-01,ks,Robert Gasser,robert gasser,4.5,0.5724,6
2026-08-01,ks,David Peterson,david peterson,4.5,0.5711,6
2026-08-01,ks,Ryan Feltner,ryan feltner,3.5,0.5627,6
2026-08-01,ks,Luinder Avila,luinder avila,3.5,0.5532,5
2026-08-01,ks,Drew Rasmussen,drew rasmussen,5.5,0.5432,6
2026-08-01,ks,Kohl Drake,kohl drake,3.5,0.5396,6
2026-08-01,ks,Jose Soriano,jose soriano,5.5,0.5373,6
2026-08-01,ks,Connor Prielipp,connor prielipp,5.5,0.536,6
2026-08-01,ks,Jack Perkins,jack perkins,4.5,0.5235,6
2026-08-01,ks,Framber Valdez,framber valdez,4.5,0.5221,6
2026-08-01,ks,Braxton Ashcraft,braxton ashcraft,6.5,0.4954,6
2026-08-01,ks,Jacob deGrom,jacob degrom,6.5,0.4876,6
2026-08-01,ks,Tyler Phillips,tyler phillips,3.5,0.4805,6
2026-08-01,ks,Miles Mikolas,miles mikolas,2.5,0.4779,6
2026-08-01,ks,Yoshinobu Yamamoto,yoshinobu yamamoto,6.5,0.4767,6
2026-08-01,ks,Logan Gilbert,logan gilbert,6.5,0.4568,6
2026-08-01,ks,Shane Baz,shane baz,5.5,0.4562,6
2026-08-01,ks,Kevin Gausman,kevin gausman,5.5,0.4507,6
2026-08-01,ks,Reynaldo Lopez,reynaldo lopez,4.5,0.4498,6
2026-08-01,ks,Payton Tolle,payton tolle,5.5,0.44,6
2026-08-01,ks,Ronel Blanco,ronel blanco,5.5,0.4367,6
2026-08-01,ks,Andrew Abbott,andrew abbott,5.5,0.435,6
2026-08-01,ks,Walker Buehler,walker buehler,4.5,0.4343,6
2026-08-01,ks,Cristopher Sanchez,cristopher sanchez,7.5,0.4285,5
2026-08-01,ks,Zach Thornton,zach thornton,4.5,0.4154,5
2026-08-01,ks,Max Fried,max fried,5.5,0.4085,3
2026-08-01,outs,Jacob deGrom,jacob degrom,17.5,0.5962,2
2026-08-01,outs,Logan Gilbert,logan gilbert,17.5,0.5802,3
2026-08-01,outs,Kevin Gausman,kevin gausman,17.5,0.5785,3
2026-08-01,outs,Kohl Drake,kohl drake,14.5,0.5723,2
2026-08-01,outs,Jack Perkins,jack perkins,14.5,0.5723,2
2026-08-01,outs,Luinder Avila,luinder avila,14.5,0.5571,2
2026-08-01,outs,Shane Baz,shane baz,17.5,0.5385,3
2026-08-01,outs,Framber Valdez,framber valdez,17.5,0.5378,2
2026-08-01,outs,Parker Messick,parker messick,17.5,0.5368,2
2026-08-01,outs,Robert Gasser,robert gasser,15.5,0.5269,2
2026-08-01,outs,Payton Tolle,payton tolle,16.5,0.5264,2
2026-08-01,outs,Drew Rasmussen,drew rasmussen,17.5,0.5,3
2026-08-01,outs,Zach Thornton,zach thornton,17.5,0.4961,3
2026-08-01,outs,Connor Prielipp,connor prielipp,16.5,0.481,3
2026-08-01,outs,Reynaldo Lopez,reynaldo lopez,15.5,0.4632,2
2026-08-01,outs,Tyler Phillips,tyler phillips,14.5,0.4622,2
2026-08-01,outs,Ronel Blanco,ronel blanco,15.5,0.4608,2
2026-08-01,outs,Walker Buehler,walker buehler,15.5,0.4526,2
2026-08-01,outs,Yoshinobu Yamamoto,yoshinobu yamamoto,19.5,0.4523,2
2026-08-01,outs,Ryan Feltner,ryan feltner,15.5,0.4448,2
2026-08-01,outs,Cristopher Sanchez,cristopher sanchez,18.5,0.4335,3
