date,stat,pitcher,name,book,line,over_dec,under_dec
2026-08-02,hits,Cade Cavalli,cade cavalli,draftkings,4.5,1.6667,2.1
2026-08-02,hits,Emmet Sheehan,emmet sheehan,bovada,4.5,2.1,1.6667
2026-08-02,hits,Emmet Sheehan,emmet sheehan,draftkings,4.5,2.09,1.6897
2026-08-02,hits,Gage Jump,gage jump,betmgm,5.5,2.0,1.7407
2026-08-02,hits,Gage Jump,gage jump,bovada,5.5,2.1,1.6667
2026-08-02,hits,Gage Jump,gage jump,draftkings,5.5,2.1,1.6849
2026-08-02,hits,Gavin Williams,gavin williams,draftkings,1.5,1.9524,1.7692
2026-08-02,hits,George Kirby,george kirby,betmgm,5.5,2.25,1.6061
2026-08-02,hits,George Kirby,george kirby,bovada,4.5,1.6897,2.05
2026-08-02,hits,George Kirby,george kirby,draftkings,4.5,1.6993,2.07
2026-08-02,hits,Gerrit Cole,gerrit cole,draftkings,2.5,1.9524,1.7692
2026-08-02,hits,Jacob Misiorowski,jacob misiorowski,betmgm,3.5,1.9091,1.8333
2026-08-02,hits,Jacob Misiorowski,jacob misiorowski,bovada,3.5,1.9091,1.7692
2026-08-02,hits,Jacob Misiorowski,jacob misiorowski,draftkings,3.5,2.02,1.7353
2026-08-02,hits,Jake Bennett,jake bennett,bovada,5.5,1.8,1.8696
2026-08-02,hits,Jake Bennett,jake bennett,draftkings,5.5,1.8197,1.9174
2026-08-02,hits,Keider Montero,keider montero,betmgm,5.5,2.05,1.7143
2026-08-02,hits,Keider Montero,keider montero,bovada,5.5,1.8333,1.8333
2026-08-02,hits,Keider Montero,keider montero,draftkings,5.5,1.8696,1.8696
2026-08-02,hits,Kyle Freeland,kyle freeland,bovada,6.5,1.6667,2.1
2026-08-02,hits,Kyle Freeland,kyle freeland,draftkings,5.5,1.6452,2.1
2026-08-02,hits,Landen Roupp,landen roupp,betmgm,5.5,2.1,1.6667
2026-08-02,hits,Landen Roupp,landen roupp,bovada,4.5,1.6452,2.15
2026-08-02,hits,Landen Roupp,landen roupp,draftkings,4.5,1.6623,2.14
2026-08-02,hits,Peter Lambert,peter lambert,draftkings,2.5,2.45,1.5
2026-08-02,hits,Sandy Alcantara,sandy alcantara,draftkings,3.5,2.3,1.5556
2026-08-02,hits,Seth Lugo,seth lugo,betmgm,6.5,1.7407,1.9524
2026-08-02,hits,Seth Lugo,seth lugo,bovada,6.5,1.7143,2.0
2026-08-02,hits,Taj Bradley,taj bradley,betmgm,4.5,1.7407,2.0
2026-08-02,hits,Taj Bradley,taj bradley,bovada,4.5,1.8333,1.8333
2026-08-02,hits,Taj Bradley,taj bradley,draftkings,4.5,1.8547,1.885
2026-08-02,hits,Walbert Urena,walbert urena,betmgm,4.5,1.7407,2.0
2026-08-02,hits,Walbert Urena,walbert urena,bovada,4.5,1.6897,2.05
2026-08-02,hits,Walbert Urena,walbert urena,draftkings,4.5,1.7042,2.07
2026-08-02,ks,Anthony Kay,anthony kay,draftkings,2.5,2.6,1.4545
2026-08-02,ks,Cade Cavalli,cade cavalli,draftkings,4.5,1.6667,2.1
2026-08-02,ks,Emmet Sheehan,emmet sheehan,betonlineag,5.5,1.7692,2.01
2026-08-02,ks,Emmet Sheehan,emmet sheehan,betrivers,5.5,1.7692,1.9709
2026-08-02,ks,Emmet Sheehan,emmet sheehan,bovada,5.5,1.7692,2.0
2026-08-02,ks,Emmet Sheehan,emmet sheehan,draftkings,5.5,1.8403,1.9346
2026-08-02,ks,Emmet Sheehan,emmet sheehan,fanduel,5.5,1.7692,2.02
2026-08-02,ks,Gage Jump,gage jump,betmgm,5.5,2.05,1.7143
2026-08-02,ks,Gage Jump,gage jump,betonlineag,5.5,1.8197,1.9434
2026-08-02,ks,Gage Jump,gage jump,betrivers,5.5,1.9174,1.8197
2026-08-02,ks,Gage Jump,gage jump,bovada,5.5,1.8696,1.8696
2026-08-02,ks,Gage Jump,gage jump,draftkings,5.5,1.9174,1.8547
2026-08-02,ks,Gage Jump,gage jump,fanduel,5.5,1.9009,1.8696
2026-08-02,ks,Gavin Williams,gavin williams,draftkings,11.5,1.9524,1.7692
2026-08-02,ks,George Kirby,george kirby,betmgm,5.5,1.9091,1.8475
2026-08-02,ks,George Kirby,george kirby,betonlineag,5.5,2.04,1.7407
2026-08-02,ks,George Kirby,george kirby,betrivers,5.5,1.8547,1.8772
2026-08-02,ks,George Kirby,george kirby,bovada,5.5,1.8696,1.8696
2026-08-02,ks,George Kirby,george kirby,draftkings,5.5,1.8547,1.9174
2026-08-02,ks,George Kirby,george kirby,fanduel,5.5,1.885,1.885
2026-08-02,ks,Gerrit Cole,gerrit cole,draftkings,6.5,1.9091,1.8
2026-08-02,ks,Jacob Misiorowski,jacob misiorowski,betmgm,8.5,1.5405,2.35
2026-08-02,ks,Jacob Misiorowski,jacob misiorowski,betonlineag,9.5,2.08,1.7092
2026-08-02,ks,Jacob Misiorowski,jacob misiorowski,betrivers,9.5,2.04,1.7194
2026-08-02,ks,Jacob Misiorowski,jacob misiorowski,bovada,9.5,2.05,1.7407
2026-08-02,ks,Jacob Misiorowski,jacob misiorowski,draftkings,9.5,2.07,1.7299
2026-08-02,ks,Jacob Misiorowski,jacob misiorowski,fanduel,9.5,2.06,1.7353
2026-08-02,ks,Jake Bennett,jake bennett,betonlineag,3.5,1.8621,1.9009
2026-08-02,ks,Jake Bennett,jake bennett,betrivers,3.5,1.7874,1.9524
2026-08-02,ks,Jake Bennett,jake bennett,bovada,3.5,1.8333,1.9091
2026-08-02,ks,Jake Bennett,jake bennett,draftkings,3.5,1.8929,1.8772
2026-08-02,ks,Jake Bennett,jake bennett,fanduel,3.5,1.8333,1.9434
2026-08-02,ks,Keider Montero,keider montero,betmgm,3.5,2.2,1.625
2026-08-02,ks,Keider Montero,keider montero,betonlineag,3.5,2.13,1.6803
2026-08-02,ks,Keider Montero,keider montero,betrivers,3.5,2.04,1.7299
2026-08-02,ks,Keider Montero,keider montero,bovada,3.5,2.15,1.6667
2026-08-02,ks,Keider Montero,keider montero,draftkings,3.5,2.09,1.7194
2026-08-02,ks,Keider Montero,keider montero,fanduel,3.5,2.16,1.6757
2026-08-02,ks,Kyle Freeland,kyle freeland,betonlineag,4.5,2.26,1.6098
2026-08-02,ks,Kyle Freeland,kyle freeland,betrivers,4.5,2.3,1.565
2026-08-02,ks,Kyle Freeland,kyle freeland,bovada,4.5,2.25,1.6061
2026-08-02,ks,Kyle Freeland,kyle freeland,draftkings,4.5,1.7692,1.9524
2026-08-02,ks,Kyle Freeland,kyle freeland,fanduel,4.5,2.26,1.6173
2026-08-02,ks,Kyle Hart,kyle hart,betonlineag,2.5,2.46,1.5208
2026-08-02,ks,Landen Roupp,landen roupp,betmgm,4.5,1.6897,2.05
2026-08-02,ks,Landen Roupp,landen roupp,betonlineag,4.5,1.6993,2.1
2026-08-02,ks,Landen Roupp,landen roupp,betrivers,4.5,1.7463,2.02
2026-08-02,ks,Landen Roupp,landen roupp,bovada,4.5,1.6897,2.1
2026-08-02,ks,Landen Roupp,landen roupp,draftkings,4.5,1.6757,2.16
2026-08-02,ks,Landen Roupp,landen roupp,fanduel,4.5,1.7246,2.08
2026-08-02,ks,Peter Lambert,peter lambert,draftkings,9.5,1.8333,1.8696
2026-08-02,ks,Sandy Alcantara,sandy alcantara,draftkings,6.5,2.6,1.4545
2026-08-02,ks,Seth Lugo,seth lugo,betmgm,4.5,2.2,1.6061
2026-08-02,ks,Seth Lugo,seth lugo,betonlineag,4.5,2.24,1.6211
2026-08-02,ks,Seth Lugo,seth lugo,betrivers,4.5,2.2,1.6289
2026-08-02,ks,Seth Lugo,seth lugo,bovada,4.5,2.25,1.6061
2026-08-02,ks,Seth Lugo,seth lugo,fanduel,4.5,2.26,1.6173
2026-08-02,ks,Taj Bradley,taj bradley,betmgm,6.5,1.7692,1.9524
2026-08-02,ks,Taj Bradley,taj bradley,betonlineag,6.5,1.8772,1.8772
2026-08-02,ks,Taj Bradley,taj bradley,betrivers,6.5,1.8547,1.8772
2026-08-02,ks,Taj Bradley,taj bradley,bovada,6.5,1.9091,1.8333
2026-08-02,ks,Taj Bradley,taj bradley,draftkings,6.5,1.9434,1.8333
2026-08-02,ks,Taj Bradley,taj bradley,fanduel,6.5,1.9259,1.8475
2026-08-02,ks,Walbert Urena,walbert urena,betmgm,4.5,1.6452,2.15
2026-08-02,ks,Walbert Urena,walbert urena,betonlineag,4.5,1.6803,2.14
2026-08-02,ks,Walbert Urena,walbert urena,betrivers,4.5,1.7299,2.02
2026-08-02,ks,Walbert Urena,walbert urena,bovada,4.5,1.625,2.2
2026-08-02,ks,Walbert Urena,walbert urena,draftkings,4.5,1.7246,2.08
2026-08-02,ks,Walbert Urena,walbert urena,fanduel,4.5,1.6494,2.2
2026-08-02,outs,Cade Cavalli,cade cavalli,draftkings,17.5,1.5128,2.4
2026-08-02,outs,Emmet Sheehan,emmet sheehan,betmgm,16.5,1.8696,1.8475
2026-08-02,outs,Emmet Sheehan,emmet sheehan,betonlineag,16.5,1.9091,1.7692
2026-08-02,outs,Emmet Sheehan,emmet sheehan,bovada,16.5,1.9091,1.7692
2026-08-02,outs,Emmet Sheehan,emmet sheehan,draftkings,16.5,1.9434,1.8
2026-08-02,outs,Emmet Sheehan,emmet sheehan,fanduel,16.5,1.9434,1.7812
2026-08-02,outs,Gage Jump,gage jump,betmgm,15.5,2.1,1.6667
2026-08-02,outs,Gage Jump,gage jump,bovada,15.5,2.1,1.6667
2026-08-02,outs,Gage Jump,gage jump,draftkings,15.5,2.09,1.6944
2026-08-02,outs,Gavin Williams,gavin williams,draftkings,21.5,2.6,1.4444
2026-08-02,outs,George Kirby,george kirby,betmgm,17.5,1.5,2.45
2026-08-02,outs,George Kirby,george kirby,bovada,18.5,2.4,1.5556
2026-08-02,outs,George Kirby,george kirby,draftkings,18.5,2.35,1.5525
2026-08-02,outs,George Kirby,george kirby,fanduel,17.5,1.5,2.46
2026-08-02,outs,Gerrit Cole,gerrit cole,draftkings,18.5,1.8696,1.8333
2026-08-02,outs,Jacob Misiorowski,jacob misiorowski,betmgm,17.5,1.8696,1.8475
2026-08-02,outs,Jake Bennett,jake bennett,betmgm,16.5,1.9524,1.7692
