date,stat,pitcher,name,book_line,book_p_over,n_books
2026-07-02,hits,Alan Rangel,alan rangel,4.5,0.574,2
2026-07-02,hits,Michael Lorenzen,michael lorenzen,6.5,0.5232,1
2026-07-02,hits,Jared Jones,jared jones,5.5,0.432,2
2026-07-02,ks,Ryan Gusto,ryan gusto,3.5,0.5936,1
2026-07-02,ks,Michael Lorenzen,michael lorenzen,3.5,0.585,1
2026-07-02,ks,Jacob Misiorowski,jacob misiorowski,8.5,0.5832,2
2026-07-02,ks,Roki Sasaki,roki sasaki,4.5,0.5832,2
2026-07-02,ks,Jared Jones,jared jones,4.5,0.5774,3
2026-07-02,ks,Chase Burns,chase burns,6.5,0.5767,4
2026-07-02,ks,Davis Martin,davis martin,4.5,0.5408,3
2026-07-02,ks,Walbert Urena,walbert urena,4.5,0.5273,4
2026-07-02,ks,Bryce Miller,bryce miller,6.5,0.5258,4
2026-07-02,ks,Nathan Eovaldi,nathan eovaldi,6.5,0.501,4
2026-07-02,ks,Dustin May,dustin may,4.5,0.4937,2
2026-07-02,ks,Ian Seymour,ian seymour,4.5,0.4762,2
2026-07-02,ks,Hurston Waldrep,hurston waldrep,3.5,0.4642,2
2026-07-02,ks,Framber Valdez,framber valdez,5.5,0.4389,4
2026-07-02,ks,Alan Rangel,alan rangel,4.5,0.4331,4
2026-07-02,ks,Randy Vasquez,randy vasquez,3.5,0.4152,2
2026-07-02,ks,Slade Cecconi,slade cecconi,4.5,0.4074,2
2026-07-02,ks,Stephen Kolek,stephen kolek,3.5,0.407,2
2026-07-02,outs,Chase Burns,chase burns,17.5,0.546,2
2026-07-02,outs,Walbert Urena,walbert urena,16.5,0.5378,2
2026-07-02,outs,Bryce Miller,bryce miller,17.5,0.5368,2
2026-07-02,outs,Alan Rangel,alan rangel,14.5,0.5264,2
2026-07-02,outs,Framber Valdez,framber valdez,17.5,0.5264,2
2026-07-02,outs,Dustin May,dustin may,16.5,0.5,1
2026-07-02,outs,Michael Lorenzen,michael lorenzen,15.5,0.4641,1
2026-07-02,outs,Roki Sasaki,roki sasaki,16.5,0.4632,2
2026-07-02,outs,Nathan Eovaldi,nathan eovaldi,18.5,0.417,2
2026-07-02,outs,Jacob Misiorowski,jacob misiorowski,18.5,0.377,2
