date,stat,pitcher,name,book_line,book_p_over,n_books
2026-07-01,hits,Walker Buehler,walker buehler,5.5,0.578,1
2026-07-01,hits,Shane McClanahan,shane mcclanahan,4.5,0.576,2
2026-07-01,hits,Max Meyer,max meyer,5.5,0.5752,3
2026-07-01,hits,Zack Wheeler,zack wheeler,4.5,0.5584,2
2026-07-01,hits,Taj Bradley,taj bradley,4.5,0.5552,2
2026-07-01,hits,Paul Skenes,paul skenes,4.5,0.5493,2
2026-07-01,hits,Michael McGreevy,michael mcgreevy,5.5,0.5487,2
2026-07-01,hits,Reynaldo Lopez,reynaldo lopez,3.5,0.5347,1
2026-07-01,hits,JT Ginn,jt ginn,5.5,0.497,3
2026-07-01,hits,Colin Rea,colin rea,4.5,0.4951,1
2026-07-01,hits,Trevor McDonald,trevor mcdonald,5.5,0.4788,3
2026-07-01,hits,Zac Gallen,zac gallen,6.5,0.4591,3
2026-07-01,hits,Seth Lugo,seth lugo,6.5,0.4547,3
2026-07-01,hits,Andrew Abbott,andrew abbott,5.5,0.4539,3
2026-07-01,hits,Shane Drohan,shane drohan,4.5,0.4532,3
2026-07-01,hits,Freddy Peralta,freddy peralta,5.5,0.447,3
2026-07-01,hits,Tatsuya Imai,tatsuya imai,4.5,0.4438,3
2026-07-01,hits,Kyle Freeland,kyle freeland,7.5,0.4344,2
2026-07-01,hits,Will Warren,will warren,4.5,0.3649,1
2026-07-01,ks,Walker Buehler,walker buehler,4.5,0.6113,1
2026-07-01,ks,Zack Wheeler,zack wheeler,6.5,0.5883,3
2026-07-01,ks,Colin Rea,colin rea,4.5,0.5752,1
2026-07-01,ks,Max Meyer,max meyer,5.5,0.5691,4
2026-07-01,ks,Tatsuya Imai,tatsuya imai,5.5,0.5633,5
2026-07-01,ks,Kyle Freeland,kyle freeland,3.5,0.5565,6
2026-07-01,ks,Seth Lugo,seth lugo,3.5,0.5553,6
2026-07-01,ks,Taj Bradley,taj bradley,5.5,0.5441,6
2026-07-01,ks,Freddy Peralta,freddy peralta,4.5,0.5363,6
2026-07-01,ks,Zac Gallen,zac gallen,3.5,0.5026,6
2026-07-01,ks,Will Warren,will warren,8.5,0.4951,1
2026-07-01,ks,Shane McClanahan,shane mcclanahan,4.5,0.4665,6
2026-07-01,ks,JT Ginn,jt ginn,4.5,0.4657,6
2026-07-01,ks,Trevor McDonald,trevor mcdonald,3.5,0.4645,6
2026-07-01,ks,Shane Drohan,shane drohan,5.5,0.4385,4
2026-07-01,ks,Paul Skenes,paul skenes,7.5,0.4365,4
2026-07-01,ks,Michael McGreevy,michael mcgreevy,3.5,0.4169,6
2026-07-01,ks,Reynaldo Lopez,reynaldo lopez,3.5,0.416,6
2026-07-01,ks,Andrew Abbott,andrew abbott,4.5,0.4111,5
2026-07-01,outs,Zack Wheeler,zack wheeler,17.5,0.625,5
2026-07-01,outs,Paul Skenes,paul skenes,17.5,0.5894,5
2026-07-01,outs,JT Ginn,jt ginn,14.5,0.5838,2
2026-07-01,outs,Shane Drohan,shane drohan,14.5,0.5665,5
2026-07-01,outs,Max Meyer,max meyer,17.5,0.5385,5
2026-07-01,outs,Freddy Peralta,freddy peralta,17.5,0.5347,5
2026-07-01,outs,Walker Buehler,walker buehler,13.5,0.5246,1
2026-07-01,outs,Kyle Freeland,kyle freeland,15.5,0.5246,5
2026-07-01,outs,Seth Lugo,seth lugo,16.5,0.4875,4
2026-07-01,outs,Andrew Abbott,andrew abbott,16.5,0.4864,5
2026-07-01,outs,Will Warren,will warren,18.5,0.4853,1
2026-07-01,outs,Taj Bradley,taj bradley,17.5,0.4754,5
2026-07-01,outs,Tatsuya Imai,tatsuya imai,16.5,0.4742,3
2026-07-01,outs,Zac Gallen,zac gallen,17.5,0.4695,4
2026-07-01,outs,Michael McGreevy,michael mcgreevy,17.5,0.4494,3
2026-07-01,outs,Shane McClanahan,shane mcclanahan,15.5,0.4248,5
2026-07-01,outs,Trevor McDonald,trevor mcdonald,15.5,0.4248,5
