date,stat,pitcher,name,book,line,over_dec,under_dec
2026-07-03,hits,Andre Pallante,andre pallante,betmgm,5.5,1.6667,2.1
2026-07-03,hits,Anthony Kay,anthony kay,betmgm,4.5,1.8,1.9524
2026-07-03,hits,Brady Singer,brady singer,betmgm,5.5,1.8,1.9524
2026-07-03,hits,Brady Singer,brady singer,bovada,5.5,1.8333,1.8333
2026-07-03,hits,Brady Singer,brady singer,draftkings,5.5,1.885,1.8547
2026-07-03,hits,Christian Scott,christian scott,betmgm,4.5,1.7407,2.0
2026-07-03,hits,Christian Scott,christian scott,bovada,4.5,1.8696,1.8
2026-07-03,hits,Christian Scott,christian scott,draftkings,4.5,1.9009,1.8403
2026-07-03,hits,Dylan Cease,dylan cease,betmgm,3.5,1.7407,2.0
2026-07-03,hits,Dylan Cease,dylan cease,bovada,3.5,1.8333,1.8333
2026-07-03,hits,Dylan Cease,dylan cease,draftkings,3.5,1.8696,1.8696
2026-07-03,hits,Foster Griffin,foster griffin,betmgm,5.5,1.9524,1.8
2026-07-03,hits,Foster Griffin,foster griffin,bovada,5.5,1.7692,1.9091
2026-07-03,hits,Foster Griffin,foster griffin,draftkings,5.5,1.8065,1.9346
2026-07-03,hits,Gavin Williams,gavin williams,betmgm,4.5,1.7143,2.05
2026-07-03,hits,Gerrit Cole,gerrit cole,betmgm,5.5,2.05,1.7143
2026-07-03,hits,Gerrit Cole,gerrit cole,bovada,5.5,2.05,1.6897
2026-07-03,hits,Gerrit Cole,gerrit cole,draftkings,5.5,2.09,1.6944
2026-07-03,hits,Grant Holmes,grant holmes,betmgm,4.5,1.7407,2.0
2026-07-03,hits,Grant Holmes,grant holmes,bovada,4.5,1.7692,1.9091
2026-07-03,hits,Grant Holmes,grant holmes,draftkings,4.5,1.813,1.9259
2026-07-03,hits,Jack Perkins,jack perkins,betmgm,4.5,1.8696,1.8696
2026-07-03,hits,Jack Perkins,jack perkins,bovada,4.5,1.7143,2.0
2026-07-03,hits,Jack Perkins,jack perkins,draftkings,4.5,1.7299,2.03
2026-07-03,hits,Jake Bennett,jake bennett,betmgm,4.5,1.6452,2.15
2026-07-03,hits,Jake Bennett,jake bennett,bovada,4.5,1.6897,2.05
2026-07-03,hits,Jake Bennett,jake bennett,draftkings,4.5,1.6944,2.08
2026-07-03,hits,Jose Cabrera,jose cabrera,bovada,5.5,2.25,1.6061
2026-07-03,hits,Jose Cabrera,jose cabrera,draftkings,5.5,2.26,1.5952
2026-07-03,hits,Kyle Harrison,kyle harrison,betmgm,5.5,2.4,1.5263
2026-07-03,hits,Kyle Harrison,kyle harrison,bovada,4.5,1.6667,2.1
2026-07-03,hits,Kyle Harrison,kyle harrison,draftkings,4.5,1.6757,2.12
2026-07-03,hits,Luis Castillo,luis castillo,betmgm,5.5,2.05,1.7143
2026-07-03,hits,Luis Castillo,luis castillo,bovada,5.5,1.9524,1.7407
2026-07-03,hits,Luis Castillo,luis castillo,draftkings,5.5,1.9804,1.7692
2026-07-03,hits,Michael King,michael king,betmgm,5.5,2.25,1.6061
2026-07-03,hits,Michael King,michael king,bovada,4.5,1.6667,2.1
2026-07-03,hits,Michael King,michael king,draftkings,4.5,1.6849,2.1
2026-07-03,hits,Mike Paredes,mike paredes,betmgm,4.5,1.6452,2.15
2026-07-03,hits,Mike Paredes,mike paredes,bovada,5.5,2.2,1.625
2026-07-03,hits,Mike Paredes,mike paredes,draftkings,5.5,2.19,1.6329
2026-07-03,hits,Mitch Keller,mitch keller,betmgm,5.5,1.6452,2.15
2026-07-03,hits,Mitch Keller,mitch keller,bovada,6.5,2.15,1.6452
2026-07-03,hits,Mitch Keller,mitch keller,draftkings,6.5,2.14,1.6623
2026-07-03,hits,Nick Martinez,nick martinez,betmgm,5.5,1.8,1.9524
2026-07-03,hits,Nick Martinez,nick martinez,bovada,5.5,1.7143,2.0
2026-07-03,hits,Nick Martinez,nick martinez,draftkings,5.5,1.7519,2.01
2026-07-03,hits,Reid Detmers,reid detmers,betmgm,4.5,1.7692,1.9524
