date,stat,pitcher,name,book_line,book_p_over,n_books
2026-07-02,assists,Sonia Citron,sonia citron,3.5,0.4773,3
2026-07-02,assists,Jordin Canada,jordin canada,6.5,0.4489,3
2026-07-02,assists,Rhyne Howard,rhyne howard,3.5,0.4199,3
2026-07-02,points,Allisha Gray,allisha gray,17.5,0.502,3
2026-07-02,points,Rhyne Howard,rhyne howard,18.5,0.4673,2
2026-07-02,points,Shakira Austin,shakira austin,12.5,0.4918,3
2026-07-02,points,Angel Reese,angel reese,14.5,0.5197,3
2026-07-02,points,Naz Hillmon,naz hillmon,7.5,0.5,3
2026-07-02,points,Sonia Citron,sonia citron,17.5,0.5,3
2026-07-02,points,Jordin Canada,jordin canada,10.5,0.5246,2
2026-07-02,points,Kiki Iriafen,kiki iriafen,14.5,0.5,3
2026-07-02,points,Michaela Onyenwere,michaela onyenwere,9.5,0.501,3
2026-07-02,pra,Allisha Gray,allisha gray,23.5,0.4718,3
2026-07-02,pra,Rhyne Howard,rhyne howard,25.5,0.4989,2
2026-07-02,pra,Shakira Austin,shakira austin,23.5,0.4815,3
2026-07-02,pra,Angel Reese,angel reese,29.5,0.4858,3
2026-07-02,pra,Naz Hillmon,naz hillmon,14.5,0.5089,3
2026-07-02,pra,Jordin Canada,jordin canada,20.5,0.5132,2
2026-07-02,pra,Kiki Iriafen,kiki iriafen,24.5,0.5209,2
2026-07-02,pra,Sonia Citron,sonia citron,24.5,0.501,3
2026-07-02,rebounds,Allisha Gray,allisha gray,2.5,0.5785,3
2026-07-02,rebounds,Rhyne Howard,rhyne howard,3.5,0.5226,3
2026-07-02,rebounds,Shakira Austin,shakira austin,7.5,0.5241,3
2026-07-02,rebounds,Angel Reese,angel reese,12.5,0.4473,3
2026-07-02,rebounds,Naz Hillmon,naz hillmon,5.5,0.4565,3
2026-07-02,rebounds,Sonia Citron,sonia citron,3.5,0.4152,2
2026-07-02,rebounds,Jordin Canada,jordin canada,3.5,0.4272,3
2026-07-02,rebounds,Kiki Iriafen,kiki iriafen,8.5,0.4598,3
2026-07-02,assists,Allisha Gray,allisha gray,2.5,0.4157,2
2026-07-02,assists,Shakira Austin,shakira austin,2.5,0.5419,2
2026-07-02,assists,Angel Reese,angel reese,2.5,0.4914,2
2026-07-02,assists,Paige Bueckers,paige bueckers,5.5,0.5527,3
2026-07-02,assists,Leïla Lacan,leila lacan,4.5,0.4718,3
2026-07-02,assists,Jessica Shepard,jessica shepard,4.5,0.5717,3
2026-07-02,points,Olivia Nelson-Ododa,olivia nelson-ododa,9.5,0.5125,2
2026-07-02,points,Arike Ogunbowale,arike ogunbowale,13.5,0.5312,2
2026-07-02,points,Jessica Shepard,jessica shepard,13.5,0.5082,3
2026-07-02,points,Paige Bueckers,paige bueckers,20.5,0.502,3
2026-07-02,points,Brittney Griner,brittney griner,11.5,0.5015,2
2026-07-02,points,Azzi Fudd,azzi fudd,15.5,0.4694,2
2026-07-02,points,Leïla Lacan,leila lacan,11.5,0.5256,2
2026-07-02,pra,Olivia Nelson-Ododa,olivia nelson-ododa,18.5,0.487,2
2026-07-02,pra,Arike Ogunbowale,arike ogunbowale,19.5,0.5294,2
2026-07-02,pra,Jessica Shepard,jessica shepard,30.5,0.4965,2
2026-07-02,pra,Paige Bueckers,paige bueckers,30.5,0.5103,3
2026-07-02,pra,Brittney Griner,brittney griner,18.5,0.501,2
2026-07-02,pra,Azzi Fudd,azzi fudd,19.5,0.4851,3
2026-07-02,rebounds,Olivia Nelson-Ododa,olivia nelson-ododa,6.5,0.4649,2
2026-07-02,rebounds,Jessica Shepard,jessica shepard,11.5,0.4969,3
2026-07-02,rebounds,Paige Bueckers,paige bueckers,3.5,0.5326,3
2026-07-02,rebounds,Brittney Griner,brittney griner,4.5,0.5256,3
2026-07-02,rebounds,Aneesah Morrow,aneesah morrow,8.5,0.4918,3
2026-07-02,assists,Arike Ogunbowale,arike ogunbowale,2.5,0.5476,2
2026-07-02,assists,Charlisse Leger-Walker,charlisse leger-walker,3.5,0.4269,2
2026-07-02,points,Aaliyah Edwards,aaliyah edwards,8.5,0.4606,2
2026-07-02,points,Charlisse Leger-Walker,charlisse leger-walker,7.5,0.4676,2
2026-07-02,points,Diamond Miller,diamond miller,8.5,0.471,2
2026-07-02,rebounds,Arike Ogunbowale,arike ogunbowale,3.5,0.4109,2
