date,stat,pitcher,name,book,line,over_dec,under_dec
2026-07-04,hits,Braxton Ashcraft,braxton ashcraft,betmgm,5.5,1.9524,1.8
2026-07-04,hits,Braxton Ashcraft,braxton ashcraft,bovada,5.5,1.8333,1.8333
2026-07-04,hits,Braxton Ashcraft,braxton ashcraft,draftkings,5.5,1.8547,1.885
2026-07-04,hits,Drew Rasmussen,drew rasmussen,betmgm,4.5,1.6897,2.05
2026-07-04,hits,Drew Rasmussen,drew rasmussen,bovada,4.5,1.7692,1.9091
2026-07-04,hits,Drew Rasmussen,drew rasmussen,draftkings,4.5,1.7874,1.9615
2026-07-04,hits,Hunter Brown,hunter brown,betmgm,4.5,1.7407,2.0
2026-07-04,hits,Hunter Brown,hunter brown,bovada,4.5,1.6667,2.1
2026-07-04,hits,Hunter Brown,hunter brown,draftkings,4.5,1.6757,2.11
2026-07-04,hits,Jack Flaherty,jack flaherty,betmgm,4.5,1.8333,1.9091
2026-07-04,hits,Jack Flaherty,jack flaherty,bovada,4.5,1.8696,1.8
2026-07-04,hits,Jack Flaherty,jack flaherty,draftkings,4.5,1.9174,1.8264
2026-07-04,hits,Kumar Rocker,kumar rocker,betmgm,4.5,1.8696,1.8696
2026-07-04,hits,Kumar Rocker,kumar rocker,bovada,4.5,1.8333,1.8333
2026-07-04,hits,Kumar Rocker,kumar rocker,draftkings,4.5,1.885,1.8547
2026-07-04,hits,Logan Gilbert,logan gilbert,betmgm,4.5,2.15,1.6452
2026-07-04,hits,Logan Gilbert,logan gilbert,bovada,3.5,1.625,2.2
2026-07-04,hits,Logan Gilbert,logan gilbert,draftkings,3.5,1.6289,2.2
2026-07-04,hits,Shane Bieber,shane bieber,betmgm,5.5,2.05,1.7143
2026-07-04,hits,Shane Bieber,shane bieber,bovada,4.5,1.6452,2.15
2026-07-04,hits,Shane Bieber,shane bieber,draftkings,4.5,1.6579,2.14
2026-07-04,ks,Brandon Young,brandon young,betmgm,5.5,2.3,1.5714
2026-07-04,ks,Brandon Young,brandon young,betonlineag,4.5,1.7407,2.04
2026-07-04,ks,Brandon Young,brandon young,betrivers,4.5,1.7194,2.05
2026-07-04,ks,Brandon Young,brandon young,bovada,4.5,1.7407,2.05
2026-07-04,ks,Brandon Young,brandon young,draftkings,4.5,1.7299,2.08
2026-07-04,ks,Brandon Young,brandon young,fanduel,4.5,1.7576,2.04
2026-07-04,ks,Braxton Ashcraft,braxton ashcraft,betmgm,5.5,1.6667,2.1
2026-07-04,ks,Braxton Ashcraft,braxton ashcraft,betonlineag,5.5,1.641,2.2
2026-07-04,ks,Braxton Ashcraft,braxton ashcraft,betrivers,6.5,2.12,1.6667
2026-07-04,ks,Braxton Ashcraft,braxton ashcraft,bovada,5.5,1.6897,2.1
2026-07-04,ks,Braxton Ashcraft,braxton ashcraft,draftkings,5.5,1.6667,2.17
2026-07-04,ks,Braxton Ashcraft,braxton ashcraft,fanduel,5.5,1.7042,2.12
2026-07-04,ks,Drew Rasmussen,drew rasmussen,betmgm,5.5,1.7407,2.0
