date,stat,pitcher,name,book,line,over_dec,under_dec
2026-08-04,hits,Blade Tidwell,blade tidwell,betmgm,4.5,1.8696,1.8696
2026-08-04,hits,Brady Singer,brady singer,betmgm,5.5,1.7407,2.0
2026-08-04,hits,Brady Singer,brady singer,bovada,5.5,1.6667,2.1
2026-08-04,hits,Brady Singer,brady singer,draftkings,5.5,1.6803,2.11
2026-08-04,hits,Davis Martin,davis martin,betmgm,5.5,1.7407,2.0
2026-08-04,hits,Davis Martin,davis martin,bovada,5.5,1.6897,2.05
2026-08-04,hits,Davis Martin,davis martin,draftkings,5.5,1.7042,2.07
2026-08-04,hits,Eduardo Rodriguez,eduardo rodriguez,betmgm,5.5,1.9524,1.8
2026-08-04,hits,Eduardo Rodriguez,eduardo rodriguez,bovada,5.5,1.9091,1.7692
2026-08-04,hits,Eduardo Rodriguez,eduardo rodriguez,draftkings,5.5,1.8929,1.8475
2026-08-04,hits,Emerson Hancock,emerson hancock,betmgm,4.5,1.8333,1.9091
2026-08-04,hits,Emerson Hancock,emerson hancock,bovada,4.5,1.7407,1.9524
2026-08-04,hits,Emerson Hancock,emerson hancock,draftkings,4.5,1.7519,2.0
2026-08-04,hits,Freddy Peralta,freddy peralta,betmgm,5.5,1.8333,1.9091
2026-08-04,hits,Freddy Peralta,freddy peralta,draftkings,5.5,1.8333,1.9009
2026-08-04,hits,Gabriel Hughes,gabriel hughes,betmgm,6.5,2.2,1.625
2026-08-04,hits,Gabriel Hughes,gabriel hughes,bovada,6.5,2.1,1.6667
2026-08-04,hits,Gabriel Hughes,gabriel hughes,draftkings,6.5,2.1,1.6849
2026-08-04,hits,Grayson Rodriguez,grayson rodriguez,betmgm,4.5,1.6452,2.15
2026-08-04,hits,Grayson Rodriguez,grayson rodriguez,bovada,5.5,2.15,1.6452
2026-08-04,hits,Grayson Rodriguez,grayson rodriguez,draftkings,5.5,2.15,1.6579
2026-08-04,hits,Hayden Wesneski,hayden wesneski,betmgm,4.5,1.6452,2.15
2026-08-04,hits,Hayden Wesneski,hayden wesneski,bovada,4.5,1.6667,2.1
2026-08-04,hits,Hayden Wesneski,hayden wesneski,draftkings,4.5,1.6897,2.09
2026-08-04,hits,Hunter Dobbins,hunter dobbins,betmgm,4.5,1.7143,2.05
2026-08-04,hits,Hunter Dobbins,hunter dobbins,bovada,4.5,1.6897,2.05
2026-08-04,hits,Hunter Dobbins,hunter dobbins,draftkings,4.5,1.7194,2.05
2026-08-04,hits,Jared Jones,jared jones,betmgm,3.5,1.6061,2.25
2026-08-04,hits,Jared Jones,jared jones,bovada,4.5,2.25,1.6061
2026-08-04,hits,Jared Jones,jared jones,draftkings,4.5,2.23,1.6135
2026-08-04,hits,Javier Assad,javier assad,betmgm,4.5,1.6061,2.25
2026-08-04,hits,Javier Assad,javier assad,bovada,5.5,2.1,1.6667
2026-08-04,hits,Javier Assad,javier assad,draftkings,5.5,2.11,1.6757
2026-08-04,hits,Jesus Luzardo,jesus luzardo,betmgm,4.5,1.9091,1.8333
2026-08-04,hits,Jesus Luzardo,jesus luzardo,bovada,4.5,1.6897,2.05
2026-08-04,hits,Jesus Luzardo,jesus luzardo,draftkings,4.5,1.7092,2.06
2026-08-04,hits,Joe Ryan,joe ryan,betmgm,5.5,1.9091,1.8333
2026-08-04,hits,Joe Ryan,joe ryan,bovada,5.5,1.8696,1.8
