date,stat,pitcher,name,book,line,over_dec,under_dec
2026-08-03,hits,Aaron Nola,aaron nola,bovada,5.5,2.05,1.6897
2026-08-03,hits,Aaron Nola,aaron nola,draftkings,5.5,2.07,1.6993
2026-08-03,hits,Andrew Alvarez,andrew alvarez,draftkings,4.5,1.6993,2.07
2026-08-03,hits,Brandon Pfaadt,brandon pfaadt,betmgm,5.5,1.6452,2.15
2026-08-03,hits,Brandon Pfaadt,brandon pfaadt,bovada,5.5,1.625,2.2
2026-08-03,hits,Brandon Pfaadt,brandon pfaadt,draftkings,5.5,1.6289,2.2
2026-08-03,hits,Brandon Sproat,brandon sproat,betmgm,4.5,1.9524,1.8
2026-08-03,hits,Brandon Sproat,brandon sproat,bovada,4.5,2.05,1.6897
2026-08-03,hits,Brandon Sproat,brandon sproat,draftkings,4.5,2.08,1.6944
2026-08-03,hits,Bubba Chandler,bubba chandler,betmgm,4.5,1.9091,1.8333
2026-08-03,hits,Bubba Chandler,bubba chandler,bovada,4.5,1.8696,1.8
2026-08-03,hits,Bubba Chandler,bubba chandler,draftkings,4.5,1.9091,1.8264
2026-08-03,hits,Cam Schlittler,cam schlittler,betmgm,4.5,1.8475,1.9091
2026-08-03,hits,Cristian Javier,cristian javier,betmgm,4.5,2.15,1.6452
2026-08-03,hits,Cristian Javier,cristian javier,bovada,4.5,1.8696,1.8
2026-08-03,hits,Cristian Javier,cristian javier,draftkings,4.5,2.15,1.6536
2026-08-03,hits,Ian Seymour,ian seymour,betmgm,5.5,2.0,1.7407
2026-08-03,hits,Ian Seymour,ian seymour,bovada,5.5,2.05,1.6897
2026-08-03,hits,Ian Seymour,ian seymour,draftkings,5.5,2.07,1.7042
2026-08-03,hits,Logan Webb,logan webb,betmgm,5.5,1.6667,2.1
2026-08-03,hits,Logan Webb,logan webb,bovada,5.5,1.7143,2.0
2026-08-03,hits,Logan Webb,logan webb,draftkings,5.5,1.7407,2.02
2026-08-03,hits,Matthew Boyd,matthew boyd,betmgm,5.5,1.9091,1.8333
2026-08-03,hits,Matthew Boyd,matthew boyd,bovada,5.5,2.0,1.7143
2026-08-03,hits,Matthew Boyd,matthew boyd,draftkings,5.5,2.04,1.7299
2026-08-03,hits,Michael King,michael king,betmgm,5.5,2.1,1.6667
2026-08-03,hits,Michael King,michael king,bovada,5.5,2.25,1.6061
2026-08-03,hits,Michael King,michael king,draftkings,5.5,2.25,1.6024
2026-08-03,hits,Michael Lorenzen,michael lorenzen,betmgm,6.5,1.9091,1.8333
2026-08-03,hits,Michael Lorenzen,michael lorenzen,bovada,6.5,1.8,1.8696
2026-08-03,hits,Michael Lorenzen,michael lorenzen,draftkings,6.5,1.8475,1.885
2026-08-03,hits,Michael McGreevy,michael mcgreevy,betmgm,5.5,2.0,1.7407
2026-08-03,hits,Shane Bieber,shane bieber,betmgm,5.5,2.05,1.7143
2026-08-03,hits,Shane Bieber,shane bieber,bovada,5.5,2.2,1.625
2026-08-03,hits,Shane Bieber,shane bieber,draftkings,5.5,2.14,1.6623
2026-08-03,ks,Aaron Nola,aaron nola,betrivers,5.5,2.07,1.7092
2026-08-03,ks,Aaron Nola,aaron nola,bovada,5.5,2.1,1.6897
2026-08-03,ks,Aaron Nola,aaron nola,draftkings,5.5,2.07,1.7353
2026-08-03,ks,Aaron Nola,aaron nola,fanduel,5.5,2.12,1.7042
2026-08-03,ks,Andrew Alvarez,andrew alvarez,draftkings,4.5,2.02,1.7692
2026-08-03,ks,Andrew Alvarez,andrew alvarez,fanduel,4.5,2.12,1.7042
2026-08-03,ks,Brandon Pfaadt,brandon pfaadt,betmgm,3.5,1.625,2.2
2026-08-03,ks,Brandon Pfaadt,brandon pfaadt,betonlineag,4.5,2.28,1.5988
2026-08-03,ks,Brandon Pfaadt,brandon pfaadt,betrivers,4.5,2.2,1.6173
2026-08-03,ks,Brandon Pfaadt,brandon pfaadt,bovada,4.5,2.25,1.6061
2026-08-03,ks,Brandon Pfaadt,brandon pfaadt,draftkings,4.5,2.34,1.5848
2026-08-03,ks,Brandon Pfaadt,brandon pfaadt,fanduel,4.5,2.26,1.6173
2026-08-03,ks,Brandon Sproat,brandon sproat,betmgm,5.5,1.9091,1.8333
2026-08-03,ks,Brandon Sproat,brandon sproat,betonlineag,5.5,1.9901,1.7812
2026-08-03,ks,Brandon Sproat,brandon sproat,bovada,5.5,2.0,1.7692
2026-08-03,ks,Brandon Sproat,brandon sproat,draftkings,5.5,1.9259,1.8475
2026-08-03,ks,Brandon Sproat,brandon sproat,fanduel,5.5,2.02,1.7692
